name,cuisines,area,averagecost,dinner ratings,cluster
Sri Udupi Park,"South Indian, North Indian, Chinese, Street Food, Biryani, Ice Cream, Beverages, Shake","Indiranagar, Bangalore",450,4.0,4
Meghana Foods,"Biryani, Andhra, North Indian, Seafood","Indiranagar, Bangalore",700,4.3,4
Donne Biriyani House,Biryani,"Indiranagar, Bangalore",300,3.9,4
Domino's Pizza,"Pizza, Fast Food, Desserts","Indiranagar, Bangalore",400,2.4,2
KFC,"Burger, Fast Food, Biryani, Desserts, Beverages","Indiranagar, Bangalore",400,2.8,2
The Congee Concept,South Indian,"Ulsoor, Bangalore",100,,3
Burger King,"Burger, Fast Food, Beverages, Desserts","Indiranagar, Bangalore",400,4.1,4
McDonald's,"Burger, Beverages, Fast Food, Desserts","Indiranagar, Bangalore",400,3.8,4
Mani's Dum Biryani,"Biryani, Kebab","Jeevan Bhima Nagar, Bangalore",800,4.2,4
Madras Meal Company,South Indian,"Thippasandra, Bangalore",150,,3
ZAZA 22 Spice Biryani,"Biryani, Mughlai, North Indian","Indiranagar, Bangalore",200,,3
New Alameen Restaurant,"Kerala, North Indian, Chinese","Ulsoor, Bangalore",300,3.7,0
Ovenstory Pizza,"Pizza, Desserts","Indiranagar, Bangalore",250,,3
Biryani Trip,"Hyderabadi, Biryani","Indiranagar, Bangalore",250,,3
FreshMenu,"Continental, North Indian, Biryani","Indiranagar, Bangalore",200,,3
BOX8 - Desi Meals,"North Indian, Wraps, Fast Food, Biryani, Desserts, Beverages","Indiranagar, Bangalore",200,,0
Nagarjuna,"Andhra, Biryani, North Indian","Indiranagar, Bangalore",800,4.3,4
Natural Ice Cream,"Ice Cream, Beverages","Indiranagar, Bangalore",300,4.8,4
Bucket Biryani,"Biryani, Kebab","Brigade Road, Bangalore",1000,3.1,2
Rotti Walla,"North Indian, South Indian, Chinese, Mughlai, Biryani, Fast Food, Beverages, Desserts","Indiranagar, Bangalore",100,,3
Green Pepper,"Kerala, Biryani, North Indian, South Indian, Seafood, Chinese","Jeevan Bhima Nagar, Bangalore",600,4.0,4
Punjabi Dhaba,"North Indian, Mughlai, Chinese","Indiranagar, Bangalore",500,3.8,4
Burma Burma,"Salad, Burmese, Asian, Tea, Beverages","Indiranagar, Bangalore",1500,4.9,1
Pizza Hut,"Pizza, Fast Food, Desserts, Beverages","Indiranagar, Bangalore",400,3.8,4
Leon Grill,"Burger, Fast Food, Wraps, Street Food, Desserts, Beverages","Indiranagar, Bangalore",400,4.2,4
Onesta,"Pizza, Pasta, Fast Food, Desserts, Beverages, Sandwich, North Indian","Indiranagar, Bangalore",500,4.4,4
Paakashala,"South Indian, North Indian, Chinese, Juices, Beverages, Shake","Indiranagar, Bangalore",400,4.0,4
M.M.A Kabab and Rolls,"North Indian, Mughlai, Chinese, Kebab, Rolls, Seafood, Arabian, Biryani","Old Madras Road, Bangalore",500,2.7,2
Ayodhya Vihar Pure Veg,"North Indian, Chinese, South Indian, Beverages, Desserts, Juices, Ice Cream, Shake","Jeevan Bhima Nagar, Bangalore",450,3.4,2
Red Kitchen,"North Indian, Andhra, Chinese, Seafood, Mughlai, Biryani","Jeevan Bhima Nagar, Bangalore",350,3.1,2
Nandhana Palace,"Biryani, Andhra, North Indian, Chinese, Mughlai, South Indian, Desserts, Beverages","Indiranagar, Bangalore",800,4.3,4
A2B - Adyar Ananda Bhavan,"South Indian, Fast Food, Street Food, Ice Cream, Beverages, North Indian, Chinese","Indiranagar, Bangalore",800,2.8,2
Andhra Gunpowder,"Biryani, South Indian, Desserts, Beverages","Jeevan Bhima Nagar, Bangalore",200,,3
Nandhini Deluxe,"Andhra, Biryani, Chinese, North Indian, Mughlai, Desserts, Beverages","Frazer Town, Bangalore",700,3.8,4
Kanti Sweets,"Mithai, Street Food, Desserts","Thippasandra, Bangalore",50,,0
Dindigul Thalappakatti,"Biryani, North Indian, South Indian, Chinese, Beverages","Indiranagar, Bangalore",400,4.2,4
Five Star Chicken,"Wraps, Burger, Rolls, Fast Food, Street Food","KR Puram, Bangalore",100,,0
Kritunga Restaurant,"Andhra, Biryani, North Indian","Marathahalli, Bangalore",800,4.0,4
Donne Biriyani House,"Biryani, Fast Food","Shanti Nagar, Bangalore",400,3.4,2
Kabab Magic,"North Indian, Kebab, Hyderabadi, Beverages","Richmond Road, Bangalore",400,3.8,4
Polar Bear,"Ice Cream, Beverages, Shake","Thippasandra, Bangalore",350,3.7,0
Biriyani Zone,"Biryani, North Indian, Chinese, Mughlai, Kebab, Seafood, Ice Cream, Beverages","CV Raman Nagar, Bangalore",800,3.6,4
Paradise Biryani,"Biryani, North Indian, Kebab","HSR, Bangalore",700,3.7,4
